front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
91,35,32,0,70,14,-38,6.06,0,1,0,0,1,0
89,-2,32,0,36,-34,-4,-5.96,0,1,0,0,1,0
88,-1,33,1,36,0,-3,-5.61,0,1,0,0,1,0
84,-4,32,-1,37,1,-5,-5.61,0,1,0,0,1,0
83,-1,32,0,38,1,-6,-5.25,0,1,0,0,1,0
80,-3,32,0,37,-1,-5,-5.61,0,1,0,0,1,0
80,0,32,0,37,0,-5,-5.61,0,1,0,0,1,0
76,-4,32,0,38,1,-6,-5.25,0,1,0,0,1,0
107,31,32,0,39,1,-7,-4.90,0,1,0,0,1,0
71,-36,32,0,41,2,-9,-4.19,0,1,0,0,1,0
70,-1,32,0,42,1,-10,-3.84,0,1,0,0,1,0
101,31,37,5,44,2,-7,-1.36,0,1,0,0,1,0
98,-3,32,-5,46,2,-14,-2.42,0,1,0,0,1,0
61,-37,32,0,50,4,-18,-1.01,0,1,0,0,1,0
59,-2,34,2,50,0,-16,-0.30,0,1,0,0,1,0
57,-2,36,2,50,0,-14,0.41,0,1,0,0,1,0
56,-1,57,21,52,2,5,8.54,0,1,0,0,1,0
89,33,36,-21,56,4,-20,2.53,0,1,0,0,1,0
86,-3,54,18,58,2,-4,9.60,0,1,0,0,1,0
83,-3,52,-2,59,1,-7,9.24,0,0,1,0,1,0
80,-3,50,-2,62,3,-12,9.60,0,1,0,0,0,1
81,1,36,-14,118,56,-82,24.45,0,1,0,0,1,0
60,-21,33,-3,400,282,-367,123.09,0,1,0,0,1,0
76,16,32,-1,67,-333,-35,5.00,0,1,0,0,1,0
77,1,31,-1,400,333,-369,122.38,0,1,0,0,1,0
70,-7,31,0,400,0,-369,122.38,0,1,0,0,1,0
68,-2,30,-1,400,0,-370,122.03,0,1,0,0,1,0
64,-4,30,0,400,0,-370,122.03,0,1,0,0,1,0
60,-4,32,2,400,0,-368,122.73,0,1,0,0,1,0
77,17,32,0,37,-363,-5,-5.61,0,1,0,0,1,0
56,-21,32,0,36,-1,-4,-5.96,0,1,0,0,1,0
56,0,37,5,36,0,1,-4.19,0,1,0,0,1,0
52,-4,29,-8,36,0,-7,-7.02,0,1,0,0,1,0
67,15,36,7,37,1,-1,-4.19,0,1,0,0,1,0
65,-2,35,-1,38,1,-3,-4.19,0,1,0,0,1,0
112,47,35,0,40,2,-5,-3.48,0,1,0,0,1,0
60,-52,33,-2,41,1,-8,-3.84,0,1,0,0,1,0
58,-2,182,149,44,3,138,49.90,0,1,0,0,1,0
56,-2,182,0,46,2,136,50.61,0,1,0,0,1,0
56,0,128,-54,47,1,81,31.87,0,1,0,0,1,0
53,-3,400,272,50,3,350,129.10,0,1,0,0,1,0
67,14,160,-240,50,0,110,44.25,0,0,1,0,1,0
65,-2,160,0,98,48,62,61.22,0,0,1,0,0,1
82,17,158,-2,55,-43,103,45.31,0,0,1,0,0,1
80,-2,118,-40,55,0,63,31.16,0,1,0,0,0,1
60,-20,112,-6,57,2,55,29.75,0,1,0,0,1,0
87,27,110,-2,57,0,53,29.04,0,1,0,0,1,0
85,-2,109,-1,58,1,51,29.04,0,1,0,0,1,0
83,-2,109,0,61,3,48,30.10,0,1,0,0,1,0
80,-3,109,0,63,2,46,30.81,0,1,0,0,1,0
78,-2,107,-2,400,337,-293,149.25,0,1,0,0,1,0
75,-3,107,0,400,0,-293,149.25,0,0,1,0,1,0
71,-4,85,-22,400,0,-315,141.47,0,1,0,0,0,1
69,-2,82,-3,400,0,-318,140.41,0,1,0,0,1,0
