front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
46,-2,29,-1,30,0,0,0,1,0,0,0,0,1,0,0,
44,-2,29,0,30,0,0,0,1,0,0,0,0,1,0,0,
41,-3,30,1,92,62,0,0,1,0,0,0,0,1,0,0,
39,-2,26,-4,29,-63,0,0,1,0,0,0,0,1,0,0,
37,-2,27,1,30,1,0,1,0,0,0,0,0,1,0,0,
35,-2,28,1,102,72,0,1,0,0,0,0,1,0,0,0,
33,-2,28,0,28,-74,0,1,0,0,0,0,1,0,0,0,
33,0,30,2,30,2,0,1,0,0,0,0,1,0,0,0,
36,3,38,8,25,-5,0,1,0,0,0,0,1,0,0,0,
185,149,31,-7,24,-1,0,1,0,0,0,0,1,0,0,0,
184,-1,29,-2,24,0,0,1,0,0,0,0,1,0,0,0,
182,-2,29,0,26,2,0,1,0,0,0,0,1,0,0,0,
183,1,29,0,26,0,0,0,1,0,0,0,1,0,0,0,
400,217,28,-1,27,1,0,1,0,0,0,0,0,1,0,0,
400,0,31,3,29,2,0,0,1,0,0,0,1,0,0,0,
400,0,74,43,31,2,0,0,0,1,0,0,0,1,0,0,
400,0,72,-2,33,2,0,0,0,1,0,0,0,0,1,0,
400,0,69,-3,35,2,0,0,0,1,0,0,0,0,1,0,
400,0,69,0,37,2,0,0,0,1,0,0,0,0,1,0,
169,-231,66,-3,39,2,0,0,1,0,0,0,0,0,1,0,
166,-3,164,98,40,1,0,0,1,0,0,0,0,1,0,0,
162,-4,162,-2,41,1,0,0,1,0,0,0,0,1,0,0,
159,-3,59,-103,42,1,0,0,1,0,0,0,0,1,0,0,
157,-2,59,0,43,1,0,0,1,0,0,0,0,1,0,0,
154,-3,158,99,44,1,0,0,1,0,0,0,0,1,0,0,
153,-1,400,242,45,1,0,0,1,0,0,0,0,1,0,0,
149,-4,52,-348,46,1,0,0,1,0,0,0,0,1,0,0,
145,-4,50,-2,45,-1,0,0,1,0,0,0,0,1,0,0,
143,-2,48,-2,24,-21,0,0,0,1,0,0,0,1,0,0,
140,-3,400,352,24,0,0,0,1,0,0,0,0,0,1,0,
136,-4,400,0,28,4,0,0,1,0,0,0,0,1,0,0,
133,-3,400,0,29,1,0,0,1,0,0,0,0,1,0,0,
130,-3,29,-371,57,28,0,0,1,0,0,0,0,1,0,0,
127,-3,37,8,174,117,0,0,1,0,0,0,0,1,0,0,
124,-3,36,-1,176,2,0,0,1,0,0,0,0,1,0,0,
122,-2,400,364,180,4,0,0,1,0,0,0,0,1,0,0,
118,-4,30,-370,60,-120,0,0,1,0,0,0,0,1,0,0,
72,-46,29,-1,36,-24,0,0,1,0,0,0,0,1,0,0,
70,-2,29,0,37,1,0,0,1,0,0,0,0,1,0,0,
66,-4,400,371,43,6,0,0,1,0,0,0,0,1,0,0,
62,-4,28,-372,45,2,0,0,1,0,0,0,0,1,0,0,
60,-2,29,1,45,0,0,0,1,0,0,0,0,1,0,0,
57,-3,28,-1,49,4,0,0,1,0,0,0,0,1,0,0,
56,-1,26,-2,50,1,0,0,1,0,0,0,0,1,0,0,
98,42,26,0,57,7,0,0,1,0,0,0,0,1,0,0,
95,-3,26,0,56,-1,0,0,1,0,0,0,0,1,0,0,
50,-45,28,2,127,71,0,0,1,0,0,0,0,1,0,0,
90,40,26,-2,124,-3,0,0,1,0,0,0,0,1,0,0,
87,-3,26,0,117,-7,0,0,1,0,0,0,0,1,0,0,
85,-2,26,0,122,5,0,0,1,0,0,0,0,1,0,0,
82,-3,25,-1,129,7,0,0,1,0,0,0,0,1,0,0,
79,-3,25,0,56,-73,0,0,1,0,0,0,0,1,0,0,
76,-3,27,2,57,1,0,0,1,0,0,0,0,1,0,0,
74,-2,26,-1,119,62,0,0,1,0,0,0,0,1,0,0,
71,-3,24,-2,29,-90,0,0,1,0,0,0,0,1,0,0,
70,-1,24,0,29,0,0,0,1,0,0,0,0,1,0,0,
66,-4,27,3,30,1,0,0,1,0,0,0,0,1,0,0,
64,-2,24,-3,33,3,0,0,1,0,0,0,0,1,0,0,
62,-2,24,0,37,4,0,0,1,0,0,0,0,1,0,0,
59,-3,23,-1,36,-1,0,0,1,0,0,0,0,1,0,0,
56,-3,24,1,37,1,0,0,1,0,0,0,0,1,0,0,
55,-1,23,-1,38,1,0,0,1,0,0,0,0,1,0,0,
52,-3,26,3,40,2,0,0,1,0,0,0,0,1,0,0,
50,-2,24,-2,42,2,0,0,1,0,0,0,0,1,0,0,
47,-3,27,3,44,2,0,0,1,0,0,0,0,1,0,0,
46,-1,24,-3,47,3,0,0,1,0,0,0,0,1,0,0,
43,-3,27,3,50,3,0,0,1,0,0,0,0,1,0,0,
41,-2,23,-4,50,0,0,0,1,0,0,0,0,1,0,0,
39,-2,22,-1,52,2,0,1,0,0,0,0,0,1,0,0,
37,-2,22,0,54,2,0,1,0,0,0,0,1,0,0,0,
35,-2,23,1,23,-31,0,1,0,0,0,0,1,0,0,0,
33,-2,24,1,22,-1,0,1,0,0,0,0,1,0,0,0,
34,1,29,5,22,0,0,1,0,0,0,0,1,0,0,0,
46,12,38,9,21,-1,0,1,0,0,0,0,1,0,0,0,
400,354,29,-9,21,0,0,1,0,0,0,0,1,0,0,0,
400,0,27,-2,21,0,0,0,1,0,0,0,1,0,0,0,
400,0,41,14,23,2,0,0,1,0,0,0,0,1,0,0,
400,0,80,39,24,1,0,0,1,0,0,0,0,1,0,0,
400,0,36,-44,27,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,364,29,2,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,32,3,0,0,1,0,0,0,0,1,0,0,
400,0,335,-65,34,2,0,0,1,0,0,0,0,1,0,0,
400,0,400,65,37,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,38,1,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,41,3,0,0,0,1,0,0,0,0,1,0,
322,-78,56,-344,42,1,0,0,0,1,0,0,0,0,1,0,
317,-5,400,344,44,2,0,0,0,1,0,0,0,0,1,0,
313,-4,29,-371,46,2,0,0,1,0,0,0,0,0,1,0,
311,-2,26,-3,47,1,0,0,1,0,0,0,0,1,0,0,
296,-15,27,1,47,0,0,1,0,0,0,0,0,1,0,0,
296,0,24,-3,29,-18,0,1,0,0,0,0,1,0,0,0,
303,7,26,2,24,-5,0,1,0,0,0,0,1,0,0,0,
300,-3,29,3,23,-1,0,0,1,0,0,0,1,0,0,0,
297,-3,400,371,23,0,0,0,1,0,0,0,0,1,0,0,
294,-3,400,0,24,1,0,0,0,1,0,0,0,1,0,0,
292,-2,400,0,25,1,0,0,1,0,0,0,0,0,1,0,
288,-4,400,0,26,1,0,0,0,1,0,0,0,1,0,0,
285,-3,30,-370,30,4,0,0,1,0,0,0,0,0,1,0,
282,-3,28,-2,39,9,0,0,1,0,0,0,0,1,0,0,
280,-2,30,2,58,19,0,0,1,0,0,0,0,1,0,0,
278,-2,27,-3,134,76,0,0,1,0,0,0,0,1,0,0,
275,-3,28,1,143,9,0,0,1,0,0,0,0,1,0,0,
272,-3,27,-1,57,-86,0,0,1,0,0,0,0,1,0,0,
269,-3,400,373,127,70,0,0,1,0,0,0,0,1,0,0,
265,-4,400,0,132,5,0,0,1,0,0,0,0,1,0,0,
261,-4,400,0,57,-75,0,0,0,1,0,0,0,1,0,0,
258,-3,400,0,135,78,0,0,1,0,0,0,0,0,1,0,
254,-4,57,-343,50,-85,0,0,0,1,0,0,0,1,0,0,
251,-3,347,290,137,87,0,0,0,1,0,0,0,0,1,0,
400,149,343,-4,57,-80,0,0,0,1,0,0,0,0,1,0,
400,0,339,-4,57,0,0,0,0,1,0,0,0,0,1,0,
400,0,336,-3,57,0,0,0,0,1,0,0,0,0,1,0,
400,0,333,-3,53,-4,0,0,1,0,0,0,0,0,1,0,
400,0,330,-3,57,4,0,0,0,1,0,0,0,1,0,0,
400,0,327,-3,57,0,0,0,0,1,0,0,0,0,1,0,
327,-73,326,-1,400,343,0,0,0,1,0,0,0,0,1,0,
322,-5,400,74,400,0,0,0,1,0,0,0,0,0,1,0,
317,-5,33,-367,400,0,0,0,1,0,0,0,0,1,0,0,
313,-4,29,-4,400,0,0,0,1,0,0,0,0,1,0,0,
310,-3,400,371,400,0,0,0,1,0,0,0,0,1,0,0,
305,-5,26,-374,400,0,0,0,1,0,0,0,0,1,0,0,
302,-3,30,4,23,-377,0,0,1,0,0,0,0,1,0,0,
300,-2,26,-4,22,-1,0,0,1,0,0,0,0,1,0,0,
297,-3,400,374,22,0,0,0,0,1,0,0,0,1,0,0,
293,-4,29,-371,23,1,0,0,1,0,0,0,0,0,1,0,
