front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
148,77,32,1,17,-40,15,-12.68,0,1,0,0,1,0
146,-2,31,-1,30,13,1,-8.43,0,1,0,0,1,0
400,254,32,1,33,3,-1,-7.02,0,1,0,0,1,0
65,-335,24,-8,33,0,-9,-9.85,0,1,0,0,1,0
58,-7,29,5,36,3,-7,-7.02,0,1,0,0,1,0
29,-29,30,1,36,0,-6,-6.67,0,1,0,0,1,0
58,29,31,1,35,-1,-4,-6.67,0,1,0,0,1,0
81,23,16,-15,20,-15,-4,-17.27,1,0,0,0,1,0
56,-25,30,14,21,1,9,-11.97,0,1,0,1,0,0
56,0,31,1,30,9,1,-8.43,0,1,0,0,1,0
56,0,59,28,29,-1,30,1.11,0,1,0,0,1,0
56,0,20,-39,16,-13,4,-17.27,0,1,0,0,1,0
50,-6,22,2,29,13,-7,-11.97,0,1,0,0,1,0
57,7,33,11,21,-8,12,-10.91,0,1,0,0,1,0
63,6,33,0,30,9,3,-7.73,0,1,0,0,1,0
58,-5,32,-1,30,0,2,-8.08,0,1,0,0,1,0
57,-1,36,4,30,0,6,-6.67,0,1,0,0,1,0
56,-1,32,-4,32,2,0,-7.37,0,1,0,0,1,0
70,14,29,-3,29,-3,0,-9.49,0,1,0,0,1,0
36,-34,37,8,57,28,-20,3.23,0,1,0,0,1,0
58,22,24,-13,37,-20,-13,-8.43,0,1,0,0,1,0
59,1,29,5,17,-20,12,-13.74,0,1,0,0,1,0
56,-3,21,-8,32,15,-11,-11.26,0,1,0,0,1,0
75,19,22,1,32,0,-10,-10.91,0,1,0,0,1,0
56,-19,23,1,33,1,-10,-10.20,0,1,0,0,1,0
50,-6,30,7,30,-3,0,-8.79,0,1,0,0,1,0
49,-1,32,2,16,-14,16,-13.03,0,1,0,0,1,0
50,1,17,-15,32,16,-15,-12.68,0,1,0,0,1,0
44,-6,17,0,33,1,-16,-12.32,0,1,0,0,1,0
43,-1,16,-1,16,-17,0,-18.69,0,1,0,0,1,0
38,-5,33,17,20,4,13,-11.26,0,1,0,0,1,0
56,18,33,0,22,2,11,-10.55,0,1,0,0,1,0
50,-6,31,-2,16,-6,15,-13.38,0,1,0,0,1,0
49,-1,19,-12,34,18,-15,-11.26,0,1,0,0,1,0
50,1,16,-3,22,-12,-6,-16.57,0,1,0,0,1,0
50,0,32,16,33,11,-1,-7.02,0,1,0,0,1,0
161,111,33,1,16,-17,17,-12.68,0,1,0,0,1,0
132,-29,31,-2,36,20,-5,-6.31,0,1,0,0,1,0
87,-45,31,0,44,8,-13,-3.48,0,1,0,0,1,0
127,40,31,0,55,11,-24,0.41,0,1,0,0,1,0
56,-71,30,-1,43,-12,-13,-4.19,0,1,0,0,1,0
44,-12,30,0,29,-14,1,-9.14,0,1,0,0,1,0
37,-7,30,0,16,-13,14,-13.74,0,1,0,0,1,0
56,19,30,0,18,2,12,-13.03,0,1,0,0,1,0
56,0,29,-1,35,17,-6,-7.37,0,1,0,0,1,0
36,-20,30,1,16,-19,14,-13.74,0,1,0,0,1,0
70,34,27,-3,35,19,-8,-8.08,0,1,0,0,1,0
136,66,29,2,50,15,-21,-2.07,0,1,0,0,1,0
50,-86,29,0,50,0,-21,-2.07,0,1,0,0,1,0
46,-4,29,0,31,-19,-2,-8.79,0,1,0,0,1,0
56,10,29,0,21,-10,8,-12.32,0,1,0,0,1,0
56,0,28,-1,54,33,-26,-1.01,0,1,0,0,1,0
126,70,28,0,16,-38,12,-14.44,0,1,0,0,1,0
59,-67,27,-1,30,14,-3,-9.85,0,1,0,0,1,0
42,-17,56,29,43,13,13,5.00,0,1,0,0,1,0
118,76,58,2,28,-15,30,0.41,0,1,0,0,1,0
53,-65,22,-36,21,-7,1,-14.80,0,1,0,0,1,0
56,3,36,14,34,13,2,-5.25,0,1,0,0,1,0
60,4,34,-2,26,-8,8,-8.79,0,1,0,0,1,0
109,49,42,8,23,-3,19,-7.02,0,1,0,0,1,0
43,-66,29,-13,57,34,-28,0.41,0,0,1,0,1,0
44,1,38,9,19,-38,19,-9.85,0,1,0,0,0,1
37,-7,29,-9,16,-3,13,-14.09,0,1,0,0,1,0
16,-21,41,12,30,14,11,-4.90,0,1,0,0,1,0
36,20,30,-11,56,26,-26,0.41,0,0,1,0,1,0
38,2,38,8,16,-40,22,-10.91,0,1,0,0,0,1
96,58,50,12,60,44,-10,8.89,0,1,0,0,1,0
50,-46,36,-14,33,-27,3,-5.61,0,0,1,0,1,0
22,-28,34,-2,24,-9,10,-9.49,0,1,0,0,0,1
50,28,31,-3,30,6,1,-8.43,0,1,0,0,1,0
43,-7,44,13,29,-1,15,-4.19,0,1,0,0,1,0
43,0,20,-24,30,1,-10,-12.32,0,1,0,0,1,0
110,67,30,10,37,7,-7,-6.31,0,1,0,0,1,0
56,-54,18,-12,31,-6,-13,-12.68,0,1,0,0,1,0
249,193,16,-2,18,-13,-2,-17.98,0,1,0,0,1,0
56,-193,30,14,24,6,6,-10.91,0,1,0,0,1,0
55,-1,24,-6,29,5,-5,-11.26,0,1,0,0,1,0
39,-16,30,6,26,-3,4,-10.20,0,1,0,0,1,0
36,-3,29,-1,29,3,0,-9.49,0,1,0,0,1,0
36,0,19,-10,36,7,-17,-10.55,0,1,0,0,1,0
36,0,29,10,29,-7,0,-9.49,0,1,0,0,1,0
50,14,29,0,25,-4,4,-10.91,0,1,0,0,1,0
65,15,29,0,22,-3,7,-11.97,0,1,0,0,1,0
57,-8,29,0,37,15,-8,-6.67,0,1,0,0,1,0
56,-1,29,0,19,-18,10,-13.03,0,1,0,0,1,0
36,-20,30,1,35,16,-5,-7.02,0,1,0,0,1,0
56,20,29,-1,32,-3,-3,-8.43,0,1,0,0,1,0
50,-6,29,0,32,0,-3,-8.43,0,1,0,0,1,0
42,-8,28,-1,36,4,-8,-7.37,0,1,0,0,1,0
38,-4,16,-12,16,-20,0,-18.69,0,1,0,0,1,0
56,18,16,0,20,4,-4,-17.27,0,1,0,0,1,0
52,-4,27,11,18,-2,9,-14.09,0,1,0,0,1,0
122,70,30,3,36,18,-6,-6.67,0,1,0,0,1,0
74,-48,50,20,57,21,-7,7.83,0,1,0,0,1,0
73,-1,23,-27,19,-38,4,-15.15,0,1,0,0,1,0
56,-17,18,-5,61,42,-43,-2.07,1,0,0,0,1,0
56,0,29,11,23,-38,6,-11.62,0,1,0,1,0,0
53,-3,27,-2,26,3,1,-11.26,0,1,0,0,1,0
56,3,29,2,19,-7,10,-13.03,0,1,0,0,1,0
57,1,60,31,29,10,31,1.47,0,1,0,0,1,0
16,-41,33,-27,60,31,-27,2.88,0,1,0,0,1,0
62,46,31,-2,16,-44,15,-13.38,0,1,0,0,1,0
36,-26,29,-2,58,42,-29,0.76,0,1,0,0,1,0
400,364,18,-11,103,45,-85,12.78,0,1,0,0,1,0
